subject	locus	est_counts	tpm
sample_07	HLA-DRA	29425.611303	951.249917
sample_07	HLA-DRB1	8460.161313	275.75059
sample_07	HLA-DRB5	5978.432573	176.445333
sample_07	HLA-E	5633.740788	128.60475100000002
sample_07	HLA-F	4231.149524	119.96820199999999
sample_07	HLA-G	45.276856	1.294481
sample_08	HLA-A	47210.418056999995	842.324264
sample_08	HLA-B	55023.838914	1051.391333
sample_08	HLA-C	27135.645883999998	582.24436
sample_08	HLA-DMA	2026.02074	81.585911
sample_08	HLA-DMB	269.711667	6.637337
sample_08	HLA-DOA	117.001198	1.345736
sample_08	HLA-DOB	67.894848	1.730731
sample_08	HLA-DPA1	4834.049484	240.372725
sample_08	HLA-DPB1	7002.0716760000005	330.424174
sample_08	HLA-DQA1	7195.935022	679.0084649999999
sample_08	HLA-DQB1	5299.451037000001	103.451853
sample_08	HLA-DRA	32588.333589	947.714087
sample_08	HLA-DRB1	10954.704236000001	297.04105799999996
sample_08	HLA-DRB5	5402.733175	137.479023
sample_08	HLA-E	4654.943052	84.770456
sample_08	HLA-F	5995.463974	140.545868
sample_08	HLA-G	70.227445	1.56566
sample_09	HLA-A	35238.315579	679.245397
sample_09	HLA-B	31221.399823	648.974025
sample_09	HLA-C	24704.774418999998	540.134915
sample_09	HLA-DMA	2398.00776	100.15127
sample_09	HLA-DMB	337.907015	8.848283
sample_09	HLA-DOA	240.000777	2.279261
sample_09	HLA-DOB	165.05853000000002	4.9920350000000004
sample_09	HLA-DPA1	7743.025056	449.05717
sample_09	HLA-DPB1	6797.021996	357.829798
sample_09	HLA-DQA1	9188.098617	920.100368
sample_09	HLA-DQB1	2319.7272470000003	47.710973
sample_09	HLA-DRA	41159.13319	1246.488487
sample_09	HLA-DRB1	13002.664837	402.60695799999996
sample_09	HLA-DRB5	6043.814777	166.523562
sample_09	HLA-E	5884.56243	113.997228
sample_09	HLA-F	2003.484336	52.231389
sample_09	HLA-G	115.181174	2.8163080000000003
sample_10	HLA-A	65510.565409	1145.037301
sample_10	HLA-B	57657.76364	1068.325173
sample_10	HLA-C	26429.655838	570.24111
sample_10	HLA-DMA	1908.0019730000001	68.011695
sample_10	HLA-DMB	712.078109	16.554759
sample_10	HLA-DOA	294.000304	2.447216
sample_10	HLA-DOB	342.465833	9.434656
sample_10	HLA-DPA1	5629.005821	262.737294
sample_10	HLA-DPB1	5887.006087	270.940433
sample_10	HLA-DQA1	11844.250208000001	1000.7318270000001
sample_10	HLA-DQB1	7486.559621	137.35375
sample_10	HLA-DRA	33011.034135	875.479559
sample_10	HLA-DRB1	15121.052985	395.75674200000003
sample_10	HLA-DRB5	8215.613116	201.819031
sample_10	HLA-E	7225.985007	130.931385
sample_10	HLA-F	2828.851323	65.061815
sample_10	HLA-G	88.55192	2.151389
sample_11	HLA-A	46727.91314	963.188727
sample_11	HLA-B	55971.662543000006	1222.9989950000001
sample_11	HLA-C	26587.112268	667.675516
sample_11	HLA-DMA	2124.006092	92.28877
sample_11	HLA-DMB	561.777996	15.065594
sample_11	HLA-DOA	233.00066800000002	4.453196999999999
sample_11	HLA-DOB	67.434338	2.440888
sample_11	HLA-DPA1	5283.015152	308.420883
sample_11	HLA-DPB1	1922.0055120000002	105.31031499999999
sample_11	HLA-DQA1	3733.576366	355.618882
sample_11	HLA-DQB1	2310.331717	49.149848
sample_11	HLA-DRA	12512.035886	384.667875
sample_11	HLA-DRB1	16017.920462	484.13240399999995
sample_11	HLA-DRB5	6521.976076	185.376191
sample_11	HLA-E	5784.050921	125.980446
sample_11	HLA-F	4202.431794	114.770404
sample_11	HLA-G	43.391439	1.269191
sample_12	HLA-A	36337.633299	753.654655
sample_12	HLA-B	45280.272059	1000.404119
sample_12	HLA-C	18293.377163	502.40920800000004
sample_12	HLA-DMA	1542.001646	68.74875
sample_12	HLA-DMB	1116.131383	31.201633
sample_12	HLA-DOA	530.000566	8.549214
sample_12	HLA-DOB	185.778418	6.669169
sample_12	HLA-DPA1	8399.008966	518.337993
sample_12	HLA-DPB1	6431.006864999999	352.175409
sample_12	HLA-DQA1	10298.037215	1149.0709619999998
sample_12	HLA-DQB1	3707.60158	81.89291399999999
sample_12	HLA-DRA	23425.025005	756.777849
sample_12	HLA-DRB1	20063.642845	645.8487190000001
sample_12	HLA-DRB5	13448.624001	397.942923
sample_12	HLA-E	11473.732349	238.526726
sample_12	HLA-F	6333.255572	171.377985
sample_12	HLA-G	112.73335	2.706281
sample_13	HLA-A	37624.292682	653.770723
sample_13	HLA-B	41702.173722	766.086141
sample_13	HLA-C	31320.162792	666.713563
sample_13	HLA-DMA	1537.006767	55.90848
sample_13	HLA-DMB	536.979688	12.530269
sample_13	HLA-DOA	335.001475	2.817058
sample_13	HLA-DOB	138.12643500000001	3.751005
sample_13	HLA-DPA1	4650.020472	229.462076
sample_13	HLA-DPB1	5648.024867	249.443783
sample_13	HLA-DQA1	8644.768065	693.0136930000001
sample_13	HLA-DQB1	5455.231333	99.09603899999999
sample_13	HLA-DRA	35197.154968	957.156369
sample_13	HLA-DRB1	16169.129097000001	419.239908
sample_13	HLA-DRB5	4466.795183	107.273512
sample_13	HLA-E	9650.506698	178.380617
sample_13	HLA-F	2131.015942	49.148337000000005
sample_13	HLA-G	49.127134	1.061903
sample_14	HLA-A	27143.885473000002	557.0865359999999
sample_14	HLA-B	12170.293579	264.885706
sample_14	HLA-C	4485.750981	111.780114
sample_14	HLA-DMA	2730.003368	118.640836
sample_14	HLA-DMB	746.358847	20.58582
sample_14	HLA-DOA	287.000355	3.9907700000000004
sample_14	HLA-DOB	317.925054	11.285591
sample_14	HLA-DPA1	8372.010329	357.009337
sample_14	HLA-DPB1	2356.002907	124.742976
sample_14	HLA-DQA1	14744.146847	1532.588623
sample_14	HLA-DQB1	6242.1779750000005	135.759265
sample_14	HLA-DRA	42369.052276	1342.116291
sample_14	HLA-DRB1	17461.351357	549.924115
sample_14	HLA-DRB5	7629.234619	220.823907
sample_14	HLA-E	7877.012137	170.067136
sample_14	HLA-F	1314.083186	35.603386
sample_14	HLA-G	25.122042	0.753266
sample_15	HLA-A	39333.147214	834.080276
sample_15	HLA-B	43401.930424	968.832848
sample_15	HLA-C	23308.869831	629.4675
sample_15	HLA-DMA	967.0181259999999	44.849982000000004
sample_15	HLA-DMB	359.284144	10.366226
sample_15	HLA-DOA	481.009016	5.071601
sample_15	HLA-DOB	152.194638	4.731301
sample_15	HLA-DPA1	6197.11616	374.51705599999997
sample_15	HLA-DPB1	5769.108136	305.206182
sample_15	HLA-DQA1	6197.892002	399.872667
sample_15	HLA-DQB1	5327.548603	122.145874
sample_15	HLA-DRA	15686.294025	531.655994
sample_15	HLA-DRB1	10972.996921	365.122352
sample_15	HLA-DRB5	8565.19073	258.804338
sample_15	HLA-E	10465.59131	233.26847199999997
sample_15	HLA-F	4593.675565	129.084934
sample_15	HLA-G	77.76563	2.088159
sample_16	HLA-A	53088.053198	1128.865861
sample_16	HLA-B	47442.399119	1072.890048
sample_16	HLA-C	33313.11976	828.861812
sample_16	HLA-DMA	3725.002486	169.497034
sample_16	HLA-DMB	770.146852	22.328432
sample_16	HLA-DOA	220.000146	3.1105039999999997
sample_16	HLA-DOB	179.936604	6.188606
sample_16	HLA-DPA1	8626.005755	517.488926
sample_16	HLA-DPB1	8852.005906999999	521.1509550000001
sample_16	HLA-DQA1	14227.171077	1543.795647
sample_16	HLA-DQB1	10627.960198	243.82599
sample_16	HLA-DRA	24874.016598	832.054597
sample_16	HLA-DRB1	12642.297677999999	516.554085
sample_16	HLA-DRB5	10039.003061	308.129092
sample_16	HLA-E	10668.424567	228.078993
sample_16	HLA-F	3236.8448869999997	90.753745
sample_16	HLA-G	39.195508000000004	1.032352
sample_17	HLA-A	50366.377376000004	1079.401862
sample_17	HLA-B	74782.571151	1735.232334
sample_17	HLA-C	30188.14958	761.320903
sample_17	HLA-DMA	1873.0214879999999	84.569196
sample_17	HLA-DMB	640.144531	17.890872
sample_17	HLA-DOA	390.004474	8.224156
sample_17	HLA-DOB	105.512898	3.045023
sample_17	HLA-DPA1	11405.130839	481.81832499999996
sample_17	HLA-DPB1	2655.030459	151.64153
sample_17	HLA-DQA1	8287.329754	769.2401120000001
sample_17	HLA-DQB1	8253.925425	184.113103
sample_17	HLA-DRA	29424.337557	932.811127
sample_17	HLA-DRB1	19377.066719000002	612.8610500000001
sample_17	HLA-DRB5	3653.640566	109.965931
sample_17	HLA-E	12692.936211	283.796631
sample_17	HLA-F	3380.778325	95.15210900000001
sample_17	HLA-G	34.030197	0.841875
sample_18	HLA-A	35750.434485000005	647.525706
sample_18	HLA-B	70379.651345	1346.3253080000002
sample_18	HLA-C	53230.473054	1070.699246
sample_18	HLA-DMA	2313.005789	93.62817700000001
sample_18	HLA-DMB	736.808844	18.250153
sample_18	HLA-DOA	407.001019	3.616145
sample_18	HLA-DOB	475.202202	13.886468
