subject_id	ena_id
NA18488	ERR188311
HG00233	ERR188312
NA18873	ERR188313
HG00380	ERR188314
HG00120	ERR188315
NA20796	ERR188316
NA20527	ERR188317
HG00276	ERR188318
NA12249	ERR188319
HG00185	ERR188320
HG00339	ERR188321
NA19190	ERR188322
HG00257	ERR188323
NA07347	ERR188324
NA06984	ERR188325
HG00275	ERR188326
NA06985	ERR188327
HG00109	ERR188328
NA20505	ERR188329
HG00379	ERR188330
NA12155	ERR188331
HG00158	ERR188332
HG00238	ERR188333
NA20543	ERR188334
NA20798	ERR188335
NA12004	ERR188336
HG00127	ERR188337
HG00134	ERR188338
NA12815	ERR188339
HG00353	ERR188340
HG00328	ERR188341
HG00111	ERR188342
NA20589	ERR188343
NA18868	ERR188344
NA20771	ERR188345
HG00312	ERR188346
NA20525	ERR188347
NA11995	ERR188348
NA12842	ERR188349
NA12399	ERR188350
HG00253	ERR188351
NA18909	ERR188352
NA20586	ERR188353
NA12775	ERR188354
HG00267	ERR188355
NA20514	ERR188356
NA20517	ERR188357
HG00367	ERR188358
NA20537	ERR188359
NA20787	ERR188360
HG00189	ERR188361
HG00371	ERR188362
NA19206	ERR188363
NA19248	ERR188364
NA19117	ERR188365
HG00264	ERR188366
NA19102	ERR188367
HG00105	ERR188368
NA20512	ERR188369
HG00240	ERR188370
NA11920	ERR188371
NA20807	ERR188372
NA18870	ERR188373
HG00360	ERR188374
NA18858	ERR188375
NA07037	ERR188376
NA12045	ERR188377
HG00259	ERR188378
HG00148	ERR188379
NA20502	ERR188380
NA20769	ERR188381
NA20536	ERR188382
HG00136	ERR188383
NA20795	ERR188384
HG00138	ERR188385
NA20521	ERR188386
HG00160	ERR188387
NA12341	ERR188388
NA10851	ERR188389
NA19235	ERR188390
HG01789	ERR188391
NA19210	ERR188392
NA20772	ERR188393
NA20813	ERR188394
HG00365	ERR188395
NA12383	ERR188396
HG00271	ERR188397
NA20535	ERR188398
NA20531	ERR188399
HG00188	ERR188400
HG00141	ERR188401
NA20581	ERR188402
HG00131	ERR188403
NA12750	ERR188404
NA20799	ERR188405
NA20828	ERR188406
HG01790	ERR188407
NA20810	ERR188408
NA18923	ERR188409
NA12156	ERR188410
HG00243	ERR188411
HG00129	ERR188412
NA12890	ERR188413
NA12043	ERR188414
NA12058	ERR188415
HG00102	ERR188416
HG00327	ERR188417
HG00326	ERR188418
NA20800	ERR188419
NA12763	ERR188420
NA19225	ERR188421
NA19172	ERR188422
NA19107	ERR188423
NA20819	ERR188424
HG00187	ERR188425
NA11843	ERR188426
NA19159	ERR188427
HG00099	ERR188428
NA12889	ERR188429
HG00132	ERR188430
NA12273	ERR188431
HG00309	ERR188432
NA11829	ERR188433
NA19209	ERR188434
NA11830	ERR188435
NA20540	ERR188436
NA20803	ERR188437
NA12272	ERR188438
HG00329	ERR188439
NA19200	ERR188440
NA12348	ERR188441
NA18910	ERR188442
HG00130	ERR188443
NA19129	ERR188444
HG00173	ERR188445
NA12347	ERR188446
NA18934	ERR188447
HG00244	ERR188448
NA18499	ERR188449
HG00235	ERR188450
NA19149	ERR188451
NA20515	ERR188452
NA20529	ERR188453
NA19207	ERR188454
HG00146	ERR188455
HG00249	ERR188456
HG00280	ERR188457
NA20516	ERR188458
NA19143	ERR188459
NA19153	ERR188460
HG00126	ERR188461
HG00375	ERR188462
NA19247	ERR188463
HG00252	ERR188464
HG00112	ERR188465
HG00142	ERR188466
NA12286	ERR188467
HG00154	ERR188468
HG01334	ERR188469
HG02215	ERR188470
NA19130	ERR188471
HG00378	ERR188472
HG00344	ERR188473
NA07051	ERR188474
NA20815	ERR188475
NA19093	ERR188476
NA12778	ERR188477
HG01791	ERR188478
NA20761	ERR188479
HG00362	ERR188480
NA07048	ERR188481
HG00308	ERR188482
NA12760	ERR204819
NA19223	ERR204820
NA19159	ERR204821
NA12889	ERR204822
HG00109	ERR204823
HG00355	ERR204824
NA19093	ERR204825
HG00114	ERR204826
HG00183	ERR204827
NA19129	ERR204828
NA19207	ERR204829
NA20527	ERR204830
HG00355	ERR204831
NA20756	ERR204832
NA12873	ERR204833
NA11930	ERR204834
NA18517	ERR204835
NA12763	ERR204836
NA19138	ERR204837
HG00377	ERR204838
NA12761	ERR204839
NA12827	ERR204840
NA11994	ERR204841
NA18873	ERR204842
NA20798	ERR204844
NA19152	ERR204845
HG00355	ERR204846
NA19118	ERR204847
NA11832	ERR204848
NA19107	ERR204849
NA20518	ERR204850
NA18912	ERR204851
NA19248	ERR204852
NA07347	ERR204853
HG00355	ERR204854
NA06986	ERR204855
NA12275	ERR204856
HG00349	ERR204857
NA19095	ERR204858
NA18486	ERR204859
NA06986	ERR204860
NA19095	ERR204861
NA20771	ERR204862
NA06986	ERR204863
HG00321	ERR204864
HG00313	ERR204865
NA19197	ERR204866
NA12004	ERR204867
NA19095	ERR204868
NA12144	ERR204869
HG00315	ERR204870
NA20532	ERR204871
HG00338	ERR204872
NA20754	ERR204873
NA20527	ERR204874
NA12546	ERR204875
NA11995	ERR204876
NA18910	ERR204877
NA19108	ERR204878
HG00117	ERR204879
NA19247	ERR204880
HG00099	ERR204882
NA12286	ERR204883
HG00138	ERR204884
NA11840	ERR204885
NA07357	ERR204886
HG00111	ERR204887
NA18934	ERR204888
NA18923	ERR204889
NA20773	ERR204890
NA19095	ERR204891
NA19121	ERR204892
NA12843	ERR204893
HG00117	ERR204894
NA12272	ERR204895
NA18909	ERR204896
NA12776	ERR204898
NA12716	ERR204899
NA11829	ERR204900
HG00355	ERR204901
NA12043	ERR204902
NA18916	ERR204903
NA19189	ERR204904
HG00378	ERR204905
NA19213	ERR204906
NA12283	ERR204907
NA20527	ERR204908
HG00117	ERR204909
NA12829	ERR204910
NA20538	ERR204911
NA19099	ERR204912
NA19143	ERR204913
HG00143	ERR204914
NA12413	ERR204915
NA19141	ERR204917
NA20513	ERR204918
NA18907	ERR204919
HG00119	ERR204920
NA11894	ERR204921
NA19131	ERR204922
NA19214	ERR204923
NA12045	ERR204924
NA18498	ERR204925
NA10851	ERR204926
NA12814	ERR204927
NA06994	ERR204928
NA06986	ERR204929
NA19095	ERR204930
NA11831	ERR204931
NA12006	ERR204932
NA19256	ERR204933
NA20527	ERR204934
HG00375	ERR204935
HG00105	ERR204936
NA20512	ERR204937
NA19257	ERR204938
NA12155	ERR204939
NA12751	ERR204941
NA18908	ERR204942
NA12750	ERR204943
NA12340	ERR204944
NA12154	ERR204945
NA12287	ERR204946
HG00137	ERR204947
NA19172	ERR204948
NA18489	ERR204949
HG00117	ERR204950
HG00131	ERR204951
NA18505	ERR204952
HG00355	ERR204953
NA20765	ERR204954
NA06986	ERR204955
NA19209	ERR204956
HG00277	ERR204957
NA07051	ERR204958
NA19206	ERR204959
NA07048	ERR204960
NA18488	ERR204961
NA12813	ERR204962
NA18868	ERR204963
NA12348	ERR204964
NA20527	ERR204965
NA19200	ERR204966
NA11893	ERR204967
NA06986	ERR204968
NA19096	ERR204969
NA19222	ERR204970
NA19185	ERR204971
HG00355	ERR204972
NA12400	ERR204973
NA12234	ERR204974
HG00117	ERR204975
NA12874	ERR204976
NA12775	ERR204977
NA20527	ERR204978
NA12282	ERR204979
NA19116	ERR204980
NA19160	ERR204981
HG00142	ERR204982
NA12762	ERR204983
HG00133	ERR204984
NA12872	ERR204986
NA19130	ERR204987
NA19175	ERR204988
NA19150	ERR204989
NA07037	ERR204990
NA18487	ERR204991
NA11830	ERR204992
NA20527	ERR204993
NA19119	ERR204994
NA19236	ERR204995
NA18511	ERR204996
NA19190	ERR204997
HG00328	ERR204998
NA10847	ERR204999
NA19114	ERR205000
NA11992	ERR205001
HG00134	ERR205002
NA12058	ERR205003
HG00117	ERR205004
NA06986	ERR205005
HG00117	ERR205006
NA19146	ERR205007
NA20543	ERR205008
NA19095	ERR205009
NA12842	ERR205010
NA12777	ERR205011
NA20786	ERR205012
NA18858	ERR205013
NA07346	ERR205014
HG00325	ERR205015
NA18870	ERR205017
NA19113	ERR205018
NA18502	ERR205019
NA19198	ERR205020
NA19210	ERR205021
NA12156	ERR205022
NA11843	ERR205023
